country,domestic_type_retained,total_country_type,total_country_museum,total_type_world,prop_DC,prop_DR,prop_WC,region,native_richness,records,records_per_area,yearsSinceIndependence,e_migdppc,n.museums,native.beta,type.beta,native.success,native.fail,type.success,type.fail,type.richness.pad,years.independence,native.richness.pad,records.per.area.pad,years.independence.pad,years.independence.fac,gdp.pad,n.museums.pad,colonization,type.beta.model,native.beta.model,prop_DC.pad,prop_DR.pad,success.DC,failures.DC,success.DR,failures.DR
BGD,3,25,3,20246,1,0.12,1.4817741776153315e-4,South Asia,92,80285,0.5864328288435693,undefined,1390,4,0.9166666666666666,0,11,1,0,0,3,0,-0.24540113378278813,-0.36251004715317003,-0.8494654140703279,0,-0.8095841117347303,-0.25381213746590264,0,0.004310344827586207,0.9130747126436781,0.9956896551724138,0.12327586206896551,3,0,3,22
BGR,7,15,7,20246,1,0.4666666666666667,3.45747308110244e-4,Europe & Central Asia,11,211331,1.8741497503569495,undefined,10591,4,0,0,0,1,0,0,7,0,-0.4362935133691014,-0.3397776488260691,-0.8494654140703279,0,0.3383407538888039,-0.25381213746590264,0,0.004310344827586207,0.004310344827586207,0.9956896551724138,0.46695402298850575,7,0,7,8
BIH,0,17,0,20246,0,0,0,Europe & Central Asia,22,9936,0.19171474328052945,undefined,6471,0,1,0,4,0,0,0,0,0,-0.41036985688207117,-0.3694781071343843,-0.8494654140703279,0,-0.17567407562635323,-0.4600622806956379,0,0.004310344827586207,0.9956896551724138,0.004310344827586207,0.004310344827586207,0,0,0,17
BLR,0,1,0,20246,0,0,0,Europe & Central Asia,1,47222,0.22757700037108616,undefined,11506,0,1,0,1,0,0,0,0,0,-0.4598604738118561,-0.3688450214775356,-0.8494654140703279,0,0.4524969599583109,-0.4600622806956379,0,0.004310344827586207,0.9956896551724138,0.004310344827586207,0.004310344827586207,0,0,0,1
BOL,23,177,25,20246,0.92,0.12994350282485875,0.0012348118146794428,Latin America & Caribbean,762,848979,0.7811652624053309,198,2240,6,0.7285714285714285,0,51,19,0,0,25,198,1.333585215881778,-0.35907238537131725,2.5555121828524108,1,-0.7035373629269915,-0.15068706585103503,1,0.004310344827586207,0.7266009852216748,0.9163793103448277,0.13313364504188582,23,2,23,154
BRA,2171,3532,2191,20246,0.9908717480602465,0.6146659116647791,0.10821890743850637,Latin America & Caribbean,3646,11713425,1.3824951284541946,201,5832,75,0.21144389807778272,0.00563697857948139,473,1764,10,1764,2191,201,8.13029660757224,-0.3484569544387643,2.607102752502755,1,-0.2553962785535827,3.4071279048618983,1,0.009898728764141034,0.21393145068056044,0.986640095059727,0.6136774124262897,2171,20,2171,1361
CAF,0,36,0,20246,0,0,0,Sub-Saharan Africa,29,55762,0.09023210956917976,63,1065,0,1,0,9,0,0,0,0,63,-0.39387298457214287,-0.3712696061931203,0.23393654858690713,1,-0.8501313980435716,-0.4600622806956379,1,0.004310344827586207,0.9956896551724138,0.004310344827586207,0.004310344827586207,0,0,0,36
CAN,7,36,51,20246,0.13725490196078433,0.19444444444444445,0.0025190161019460634,North America,39,51964152,5.22487614533889,156,28799,10,0.7142857142857143,0.9230769230769232,5,2,24,2,51,156,-0.3703060241293881,-0.28062641315981557,1.8332442077475872,1,2.609986874231518,0.055563077378700226,1,0.9194297082228119,0.7124384236453202,0.1403820148749155,0.19707854406130268,7,44,7,29
CHE,35,45,221,20246,0.1583710407239819,0.7777777777777778,0.010915736441766275,Europe & Central Asia,30,8734666,210.79896708176463,undefined,32877,6,0.05,0.8416666666666667,1,19,101,19,221,0,-0.3915162885278674,3.3484259374191976,-0.8494654140703279,0,3.118761746746763,-0.15068706585103503,0,0.8387212643678161,0.05387931034482758,0.16131611795912,0.775383141762452,35,186,35,10
CHL,10,40,11,20246,0.9090909090909091,0.25,5.433171984589549e-4,Latin America & Caribbean,38,1589818,2.158339815882041,205,7443,11,0.6551724137931034,0.09090909090909093,19,10,1,10,11,205,-0.37266272017366364,-0.33476076843707114,2.6758901787032148,1,-0.05440649934268023,0.10712561318613403,1,0.09443573667711601,0.6538347205707491,0.905564263322884,0.2521551724137931,10,1,10,30
