species,country_distribution,region_distribution
Bunocephalus iheringii,ARG,Latin America & Caribbean
Bunocephalus rugosus,ARG,Latin America & Caribbean
Callichthys paleatus,ARG,Latin America & Caribbean
Callichthys pectoralis,ARG,Latin America & Caribbean
Carapus inaequilabiatus,ARG,Latin America & Caribbean
Ceratocheilus osteomystax,ARG,Latin America & Caribbean
Cetopsis gobioides,ARG,Latin America & Caribbean
Cetopsis starnesi,ARG,Latin America & Caribbean
Cetopsorhamdia iheringi,ARG,Latin America & Caribbean
Chaetobranchopsis australe,ARG,Latin America & Caribbean
Chalceus hilarii,ARG,Latin America & Caribbean
Chalceus orbignyanus,ARG,Latin America & Caribbean
Chalcinus nematurus,ARG,Latin America & Caribbean
Characidium (Jobertina) rachovii,ARG,Latin America & Caribbean
Characidium fasciatum,ARG,Latin America & Caribbean
Characidium heirmostigmata,ARG,Latin America & Caribbean
Characidium occidentale,ARG,Latin America & Caribbean
Characidium pterostictum,ARG,Latin America & Caribbean
Characidium serrano,ARG,Latin America & Caribbean
Characidium zebra,ARG,Latin America & Caribbean
Charax leticiae,ARG,Latin America & Caribbean
Cheirodon galusdae,ARG,Latin America & Caribbean
Cheirodon interruptus ibicuhiensis,ARG,Latin America & Caribbean
Cheirodon kriegi,ARG,Latin America & Caribbean
Cheirodon microdon,ARG,Latin America & Caribbean
Cheirodon notomelas,ARG,Latin America & Caribbean
Chirodon calliurus,ARG,Latin America & Caribbean
Chirodon eques,ARG,Latin America & Caribbean
Chirodon pequira,ARG,Latin America & Caribbean
Chorimycterus tenuis,ARG,Latin America & Caribbean
Chromis facetus,ARG,Latin America & Caribbean
Cichlasoma scitulum,ARG,Latin America & Caribbean
Cichlasoma tembe,ARG,Latin America & Caribbean
Clupeacharax anchoveoides,ARG,Latin America & Caribbean
Cnesterodon pirai,ARG,Latin America & Caribbean
Cnesterodon raddai,ARG,Latin America & Caribbean
Corydoras aurofrenatus,ARG,Latin America & Caribbean
Corydoras carlae,ARG,Latin America & Caribbean
Corydoras ehrhardti,ARG,Latin America & Caribbean
Corydoras ellisae,ARG,Latin America & Caribbean
Corydoras gladysae,ARG,Latin America & Caribbean
Corydoras hastatus,ARG,Latin America & Caribbean
Corydoras longipinnis,ARG,Latin America & Caribbean
Corydoras micracanthus,ARG,Latin America & Caribbean
Corydoras microcephalus,ARG,Latin America & Caribbean
Corydoras petracinii,ARG,Latin America & Caribbean
Corydoras polystictus,ARG,Latin America & Caribbean
Corydoras undulatus,ARG,Latin America & Caribbean
Crenicichla ama,ARG,Latin America & Caribbean
Crenicichla aravera,ARG,Latin America & Caribbean
Crenicichla gaucho,ARG,Latin America & Caribbean
Crenicichla hadrostigma,ARG,Latin America & Caribbean
Crenicichla iguassuensis,ARG,Latin America & Caribbean
Crenicichla jupiaensis,ARG,Latin America & Caribbean
Crenicichla lepidota,ARG,Latin America & Caribbean
Crenicichla mandelburgeri,ARG,Latin America & Caribbean
Crenicichla minuano,ARG,Latin America & Caribbean
Crenicichla missioneira,ARG,Latin America & Caribbean
Crenicichla taikyra,ARG,Latin America & Caribbean
Crenicichla tapii,ARG,Latin America & Caribbean
Crenicichla tendybaguassu,ARG,Latin America & Caribbean
Crenicichla tesay,ARG,Latin America & Caribbean
Crenicichla tuca,ARG,Latin America & Caribbean
Crenicichla vittata,ARG,Latin America & Caribbean
Crenicichla yaha,ARG,Latin America & Caribbean
Crenicichla yjhui,ARG,Latin America & Caribbean
Crenicichla ypo,ARG,Latin America & Caribbean
Curimata spilota,ARG,Latin America & Caribbean
Curimatopsis saladensis,ARG,Latin America & Caribbean
Curimatus dorsalis,ARG,Latin America & Caribbean
Curimatus gilberti brevipinnis,ARG,Latin America & Caribbean
Curimatus nigrotaenia,ARG,Latin America & Caribbean
Curimatus obtusidens,ARG,Latin America & Caribbean
Curimatus platanus,ARG,Latin America & Caribbean
Curimatus voga,ARG,Latin America & Caribbean
Cyanocharax lepiclastus,ARG,Latin America & Caribbean
Cyanocharax obi,ARG,Latin America & Caribbean
Cynolebias alexandri,ARG,Latin America & Caribbean
Cynolebias bellottii,ARG,Latin America & Caribbean
Cynolebias elongatus,ARG,Latin America & Caribbean
Cynolebias monstrosus,ARG,Latin America & Caribbean
Cynolebias nigripinnis,ARG,Latin America & Caribbean
Cynolebias patriciae,ARG,Latin America & Caribbean
Cynolebias periodicus,ARG,Latin America & Caribbean
Cynolebias robustus,ARG,Latin America & Caribbean
Cynolebias vandenbergi,ARG,Latin America & Caribbean
Cyrtocharax kincaidi,ARG,Latin America & Caribbean
Diapoma nandi,ARG,Latin America & Caribbean
Diapoma potamohadros,ARG,Latin America & Caribbean
Diapoma pyrrhopteryx,ARG,Latin America & Caribbean
Diplomystes viedmensis,ARG,Latin America & Caribbean
Diplomystes viedmensis cuyanus,ARG,Latin America & Caribbean
Diplomystes viedmensis mesembrinus,ARG,Latin America & Caribbean
Doras insculptus,ARG,Latin America & Caribbean
Doras punctatus,ARG,Latin America & Caribbean
Doras weddellii,ARG,Latin America & Caribbean
Eigenmannia trilineata,ARG,Latin America & Caribbean
Engraulisoma taeniatum,ARG,Latin America & Caribbean
Epactionotus aky,ARG,Latin America & Caribbean
