species,country_distribution,region_distribution
Pyrrhulina stoli,GUY,Latin America & Caribbean
Rhamdella leptosoma,GUY,Latin America & Caribbean
Rhamdia laukidi,GUY,Latin America & Caribbean
Rhamphichthys artedi,GUY,Latin America & Caribbean
Rhamphichthys brevirostris,GUY,Latin America & Caribbean
Rhamphichthys pantherinus,GUY,Latin America & Caribbean
Rhaphiodon gibbus,GUY,Latin America & Caribbean
Rhaphiodon vulpinus,GUY,Latin America & Caribbean
Rhinodoras armbrusteri,GUY,Latin America & Caribbean
Rhynchodoras woodsi,GUY,Latin America & Caribbean
Rivulus agilae,GUY,Latin America & Caribbean
Rivulus breviceps,GUY,Latin America & Caribbean
Rivulus frenatus,GUY,Latin America & Caribbean
Rivulus holmiae,GUY,Latin America & Caribbean
Rivulus lanceolatus,GUY,Latin America & Caribbean
Rivulus mahdiaensis,GUY,Latin America & Caribbean
Rivulus mazaruni,GUY,Latin America & Caribbean
Rivulus stagnatus,GUY,Latin America & Caribbean
Rivulus torrenticola,GUY,Latin America & Caribbean
Rivulus waimacui,GUY,Latin America & Caribbean
Roeboides dayi dientonito,GUY,Latin America & Caribbean
Salmo falcatus,GUY,Latin America & Caribbean
Salmo fasciatus,GUY,Latin America & Caribbean
Salmo friderici,GUY,Latin America & Caribbean
Salmo gibbosus,GUY,Latin America & Caribbean
Salmo melanurus,GUY,Latin America & Caribbean
Salmo rhombeus,GUY,Latin America & Caribbean
Salmo unimaculatus,GUY,Latin America & Caribbean
Schizodon trimaculatus,GUY,Latin America & Caribbean
Schizodontopsis laticeps,GUY,Latin America & Caribbean
Serrasalmo (Pygocentrus) calmoni,GUY,Latin America & Caribbean
Serrasalmo hollandi,GUY,Latin America & Caribbean
Serrasalmo scapularis,GUY,Latin America & Caribbean
Serrasalmus eigenmanni,GUY,Latin America & Caribbean
Silurus carinatus,GUY,Latin America & Caribbean
Silurus fasciatus,GUY,Latin America & Caribbean
Silurus nodosus,GUY,Latin America & Caribbean
Skiotocharax meizon,GUY,Latin America & Caribbean
Solea mentalis,GUY,Latin America & Caribbean
Soleonasus finis,GUY,Latin America & Caribbean
Sorubim elongatus,GUY,Latin America & Caribbean
Sparus saxatilis,GUY,Latin America & Caribbean
Sternarchorhynchus freemani,GUY,Latin America & Caribbean
Sternarchus leptorhynchus,GUY,Latin America & Caribbean
Sternarchus macrostoma,GUY,Latin America & Caribbean
Sternarchus oxyrhynchus,GUY,Latin America & Caribbean
Sternopygus macrops,GUY,Latin America & Caribbean
Stolephorus guianensis,GUY,Latin America & Caribbean
Stolephorus surinamensis,GUY,Latin America & Caribbean
Stoneiella leopardus,GUY,Latin America & Caribbean
Sturisoma monopelte,GUY,Latin America & Caribbean
Sudis gigas,GUY,Latin America & Caribbean
Synbranchus marmoratus,GUY,Latin America & Caribbean
Tatia carolae,GUY,Latin America & Caribbean
Tatia meesi,GUY,Latin America & Caribbean
Tatia reticulata,GUY,Latin America & Caribbean
Tetragonopterus affinis,GUY,Latin America & Caribbean
Tetragonopterus caudomaculatus,GUY,Latin America & Caribbean
Tetragonopterus chalceus,GUY,Latin America & Caribbean
Tetragonopterus chrysargyreus,GUY,Latin America & Caribbean
Tetragonopterus collettii,GUY,Latin America & Caribbean
Tetragonopterus compressus,GUY,Latin America & Caribbean
Tetragonopterus grandisquamis,GUY,Latin America & Caribbean
Tetragonopterus ocellifer,GUY,Latin America & Caribbean
Tetragonopterus oligolepis,GUY,Latin America & Caribbean
Tetragonopterus orbicularis,GUY,Latin America & Caribbean
Tetragonopterus polylepis,GUY,Latin America & Caribbean
Tetragonopterus spilurus,GUY,Latin America & Caribbean
Tometes trilobatus,GUY,Latin America & Caribbean
Tomeurus gracilis,GUY,Latin America & Caribbean
Trachelyichthys decaradiatus,GUY,Latin America & Caribbean
Trachelyopterus coriaceus,GUY,Latin America & Caribbean
Trachydoras gepharti,GUY,Latin America & Caribbean
Trichomycterus wapixana,GUY,Latin America & Caribbean
Tylobronchus maculosus,GUY,Latin America & Caribbean
Tympanopleura piperata,GUY,Latin America & Caribbean
Urumara rondoni,GUY,Latin America & Caribbean
Vandellia beccarii,GUY,Latin America & Caribbean
Vandellia sanguinea,GUY,Latin America & Caribbean
Vastres arapaima,GUY,Latin America & Caribbean
Vesicatrus carteri,GUY,Latin America & Caribbean
Xiphocharax ogilviei,GUY,Latin America & Caribbean
Yaluwak primus,GUY,Latin America & Caribbean
Zeus scalaris,GUY,Latin America & Caribbean
Cichlasoma haitiensis,HTI,Latin America & Caribbean
Cyprinodon bondi,HTI,Latin America & Caribbean
Gambusia dominicensis,HTI,Latin America & Caribbean
Gambusia hispaniolae,HTI,Latin America & Caribbean
Gambusia pseudopunctata,HTI,Latin America & Caribbean
Limia garnieri,HTI,Latin America & Caribbean
Limia islai,HTI,Latin America & Caribbean
Limia mandibularis,HTI,Latin America & Caribbean
Limia melanonotata,HTI,Latin America & Caribbean
Limia nigrofasciata,HTI,Latin America & Caribbean
Limia ornata,HTI,Latin America & Caribbean
Limia yaguajali,HTI,Latin America & Caribbean
Poecilia (Acropoecilia) tridens,HTI,Latin America & Caribbean
Poecilia dominicensis,HTI,Latin America & Caribbean
Poecilia hispaniolana,HTI,Latin America & Caribbean
Synodontis ilebrevis,HTI,Latin America & Caribbean
Amatitlania siquia,HND,Latin America & Caribbean
Arius assimilis,HND,Latin America & Caribbean
Arius taylori,HND,Latin America & Caribbean
Atractosteus tropicus,HND,Latin America & Caribbean
Brycon guatemalensis,HND,Latin America & Caribbean
Cichlasoma alfari,HND,Latin America & Caribbean
Cichlasoma cutteri,HND,Latin America & Caribbean
Cichlasoma hogaboomorum,HND,Latin America & Caribbean
Cichlosoma maculicauda,HND,Latin America & Caribbean
Cichlosoma robertsoni,HND,Latin America & Caribbean
Cynodonichthys tenuis,HND,Latin America & Caribbean
Gambusia luma,HND,Latin America & Caribbean
Gambusia nicaraguensis,HND,Latin America & Caribbean
Girardinus pleurospilus,HND,Latin America & Caribbean
Gymnotus cylindricus,HND,Latin America & Caribbean
Heros affinis,HND,Latin America & Caribbean
Heros aureus,HND,Latin America & Caribbean
Heros centrarchus,HND,Latin America & Caribbean
Heros dovii,HND,Latin America & Caribbean
Heros friedrichsthalii,HND,Latin America & Caribbean
Heros longimanus,HND,Latin America & Caribbean
Heros managuensis,HND,Latin America & Caribbean
Heros motaguensis,HND,Latin America & Caribbean
Heros multispinosus,HND,Latin America & Caribbean
Heros nigrofasciatus,HND,Latin America & Caribbean
Heros octofasciatus,HND,Latin America & Caribbean
Heros spilurus,HND,Latin America & Caribbean
Heros urophthalmus,HND,Latin America & Caribbean
Heterandria anzuetoi,HND,Latin America & Caribbean
Hyphessobrycon tortuguerae,HND,Latin America & Caribbean
Leptophilypnus fluviatilis,HND,Latin America & Caribbean
Mugil incilis,HND,Latin America & Caribbean
Ophisternon aenigmaticum,HND,Latin America & Caribbean
Petalosoma cultratum,HND,Latin America & Caribbean
Phallichthys fairweatheri,HND,Latin America & Caribbean
Poecilia (Mollienesia) hondurensis,HND,Latin America & Caribbean
Poecilia amates,HND,Latin America & Caribbean
Poecilia butleri,HND,Latin America & Caribbean
Poecilia marcellinoi,HND,Latin America & Caribbean
Poecilia orri,HND,Latin America & Caribbean
Poecilia salvatoris,HND,Latin America & Caribbean
Poecilia sphenops,HND,Latin America & Caribbean
Priapichthys huberi,HND,Latin America & Caribbean
Roeboides bouchellei,HND,Latin America & Caribbean
Tetragonopterus aeneus,HND,Latin America & Caribbean
Tetragonopterus belizianus,HND,Latin America & Caribbean
Theraps wesseli,HND,Latin America & Caribbean
Thyrina guija,HND,Latin America & Caribbean
Xiphophorus bimaculatus,HND,Latin America & Caribbean
Xiphophorus gracilis,HND,Latin America & Caribbean
Xiphophorus hellerii,HND,Latin America & Caribbean
Xiphophorus mayae,HND,Latin America & Caribbean
Barilius (Barilius) acutipinnis,HKG,East Asia & Pacific
Gobius diadema,HKG,East Asia & Pacific
Macropodus hongkongensis,HKG,East Asia & Pacific
Gasterosteus islandicus,ISL,Europe & Central Asia
Salmo alpinus murta,ISL,Europe & Central Asia
Salmo alpinus thingvallensis,ISL,Europe & Central Asia
Aborichthys bajpaii,IND,South Asia
Aborichthys barapensis,IND,South Asia
Aborichthys cataracta,IND,South Asia
Aborichthys elongatus,IND,South Asia
Aborichthys garoensis,IND,South Asia
Aborichthys iphipaniensis,IND,South Asia
Aborichthys kailashi,IND,South Asia
Aborichthys kempi,IND,South Asia
Aborichthys palinensis,IND,South Asia
Aborichthys pangensis,IND,South Asia
Aborichthys tikaderi,IND,South Asia
Aborichthys waikhomi,IND,South Asia
Acanthocobitis longipinnis,IND,South Asia
Acanthophthalmus goaensis,IND,South Asia
Acanthophthalmus longipinnis,IND,South Asia
Acanthopis berdmorei,IND,South Asia
Aenigmachanna gollum,IND,South Asia
Ailiichthys punctata,IND,South Asia
Akysis prashadi,IND,South Asia
Allips concolor,IND,South Asia
Ambassis buton,IND,South Asia
Amblyceps accari,IND,South Asia
Amblyceps apangi,IND,South Asia
Amblyceps arunachalensis,IND,South Asia
Amblyceps cerinum,IND,South Asia
Amblyceps crassioris,IND,South Asia
Amblyceps hmolaii,IND,South Asia
Amblyceps horae,IND,South Asia
Amblyceps tenuispinis,IND,South Asia
Amblyceps torrentis,IND,South Asia
Amblyceps tuberculatum,IND,South Asia
Amblyceps waikhomi,IND,South Asia
Amphipnous indicus,IND,South Asia
Aorichthys aor sarwari,IND,South Asia
Aplocheilus kirchmayeri,IND,South Asia
Arius macronotacanthus,IND,South Asia
Aspidoparia ukhrulensis,IND,South Asia
Badis andrewraoi,IND,South Asia
Badis autumnum,IND,South Asia
Badis badis assamensis,IND,South Asia
Badis blosyrus,IND,South Asia
Badis britzi,IND,South Asia
Badis dibruensis,IND,South Asia
Badis ferrarisi,IND,South Asia
Badis kaladanensis,IND,South Asia
Badis kanabos,IND,South Asia
Badis kyanos,IND,South Asia
Badis laspiophilus,IND,South Asia
Badis limaakumi,IND,South Asia
Badis rhabdotus,IND,South Asia
Badis singenensis,IND,South Asia
Badis soraya,IND,South Asia
Badis tuivaiei,IND,South Asia
Bagrus buchanani,IND,South Asia
Bagrus keletius,IND,South Asia
Bagrus lamarrii,IND,South Asia
Bagrus lonah,IND,South Asia
Bagrus oculatus,IND,South Asia
Balitora brucei,IND,South Asia
Balitora brucei burmanicus,IND,South Asia
Balitora brucei mysorensis,IND,South Asia
Balitora chipkali,IND,South Asia
Balitora jalpalli,IND,South Asia
Balitora laticauda,IND,South Asia
Barbus (Barbodes) pulchellus,IND,South Asia
Barbus (Barboides) wynaadensis,IND,South Asia
Barbus (Puntius) micropogon periyarensis,IND,South Asia
Barbus (Puntius) ophicephalus,IND,South Asia
Barbus (Puntius) stoliczkanus,IND,South Asia
Barbus arenatus,IND,South Asia
Barbus cauveriensis,IND,South Asia
Barbus chelynoides,IND,South Asia
Barbus fraseri,IND,South Asia
Barbus hexastichus,IND,South Asia
Barbus malabaricus,IND,South Asia
Barbus micropogon,IND,South Asia
Barbus mussullah,IND,South Asia
Barbus narayani,IND,South Asia
Barbus nicholsi,IND,South Asia
Barbus sophoroides,IND,South Asia
Barbus spinulosus,IND,South Asia
Barilius ardens,IND,South Asia
Barilius arunachalensis,IND,South Asia
Barilius chatricensis,IND,South Asia
Barilius cyanochlorus,IND,South Asia
Barilius dimorphicus,IND,South Asia
Barilius dogarsinghi,IND,South Asia
Barilius howesi,IND,South Asia
Barilius kamjongensis,IND,South Asia
Barilius lairokensis,IND,South Asia
Barilius ngawa,IND,South Asia
Barilius profundus,IND,South Asia
Barilius radiolatus,IND,South Asia
Barilius torsai,IND,South Asia
Batasio convexirostrum,IND,South Asia
Batasio fasciolatus,IND,South Asia
Batasio flavus,IND,South Asia
Batasio sharavatiensis,IND,South Asia
Batasio spilurus,IND,South Asia
Batasio travancoria,IND,South Asia
Betadevario ramachandrani,IND,South Asia
Bhavania annandalei,IND,South Asia
Botia almorhae,IND,South Asia
Botia birdi,IND,South Asia
Botia histrionica,IND,South Asia
Botia lohachata,IND,South Asia
Botia macrolineata,IND,South Asia
Botia rostrata,IND,South Asia
Botia striata,IND,South Asia
Brachydanio jaintianensis,IND,South Asia
Cabdio crassus,IND,South Asia
Callogobius seshaiyai,IND,South Asia
Capoeta amphibia,IND,South Asia
Carinotetraodon imitator,IND,South Asia
Catopra malabarica,IND,South Asia
Chaetodon maculatus,IND,South Asia
Chaetodon suratensis,IND,South Asia
Channa andrao,IND,South Asia
Channa aristonei,IND,South Asia
Channa aurantimaculata,IND,South Asia
Channa aurantipectoralis,IND,South Asia
Channa bipuli,IND,South Asia
Channa bleheri,IND,South Asia
Channa brahmacharyi,IND,South Asia
Channa brunnea,IND,South Asia
Channa lipor,IND,South Asia
Channa melanostigma,IND,South Asia
Channa pardalis,IND,South Asia
Channa pomanensis,IND,South Asia
Channa quinquefasciata,IND,South Asia
Channa rara,IND,South Asia
Channa stiktos,IND,South Asia
Chela (Allochela) fasciata,IND,South Asia
Chela argentea,IND,South Asia
Chela balookee,IND,South Asia
Chela horai,IND,South Asia
Chela khujairokensis,IND,South Asia
Chela macrolepis,IND,South Asia
Chondrostoma wattanah,IND,South Asia
Cirrhina macrops,IND,South Asia
Clarias dayi,IND,South Asia
Clupanodon chapra,IND,South Asia
Clupea variegata,IND,South Asia
Clupisoma bastari,IND,South Asia
Cobitis (Schistura) rupecula,IND,South Asia
Cobitis botia,IND,South Asia
Cobitis boutanensis,IND,South Asia
Cobitis pavonacea,IND,South Asia
Cobitis stolickai,IND,South Asia
Cobitis tenuicauda,IND,South Asia
Cobitis thermalis,IND,South Asia
Cobitis zonalternans,IND,South Asia
Conta pectinata,IND,South Asia
Creteuchiloglanis arunachalensis,IND,South Asia
Creteuchiloglanis nuthemuensis,IND,South Asia
Creteuchiloglanis payjab,IND,South Asia
Creteuchiloglanis tawangensis,IND,South Asia
Crossocheilus periyarensis,IND,South Asia
Ctenogobius globiceps,IND,South Asia
Ctenogobius horai,IND,South Asia
Cyprinus balitora,IND,South Asia
Cyprinus canius,IND,South Asia
Cyprinus curmuca,IND,South Asia
Cyprinus fimbriatus,IND,South Asia
Cyprinus gelius,IND,South Asia
Cyprinus gotyla,IND,South Asia
Cyprinus latius,IND,South Asia
Cyprinus novacula,IND,South Asia
Cyprinus richardsonii,IND,South Asia
Cyprinus sophore,IND,South Asia
Danio (Brachydanio) acuticephala,IND,South Asia
Danio (Brachydanio) horai,IND,South Asia
Danio (Danio) fraseri,IND,South Asia
Danio annulosus,IND,South Asia
Danio assamila,IND,South Asia
Danio manipurensis,IND,South Asia
Danio meghalayensis,IND,South Asia
Danio naganensis,IND,South Asia
Danio yuensis,IND,South Asia
Danionella priapus,IND,South Asia
Dario kajal,IND,South Asia
Dario neela,IND,South Asia
Dario urops,IND,South Asia
Dawkinsia apsara,IND,South Asia
Dawkinsia austellus,IND,South Asia
Dawkinsia crassa,IND,South Asia
Dawkinsia uttara,IND,South Asia
Devario deruptotalea,IND,South Asia
Discognathus gravelyi,IND,South Asia
Discognathus kangrae,IND,South Asia
Ehirava fluviatilis,IND,South Asia
Erethistes pusillus,IND,South Asia
Erethistoides cavatura,IND,South Asia
Erethistoides infuscatus,IND,South Asia
Erethistoides montana,IND,South Asia
Erethistoides montana pipri,IND,South Asia
Erethistoides sicula,IND,South Asia
Esomus bengalensis,IND,South Asia
Eutropiichthys cetosus,IND,South Asia
Exostoma barakensis,IND,South Asia
Exostoma blythii,IND,South Asia
Exostoma dhritiae,IND,South Asia
Exostoma dujangensis,IND,South Asia
Exostoma kottelati,IND,South Asia
Exostoma sawmteai,IND,South Asia
Exostoma sentiyonoae,IND,South Asia
Exostoma tenuicaudata,IND,South Asia
Gagata dolichonema,IND,South Asia
Gagata rhodobarbus,IND,South Asia
Gagata sexualis,IND,South Asia
Gagata youssoufi,IND,South Asia
Garra abhoyai,IND,South Asia
Garra annandalei,IND,South Asia
Garra arunachalensis,IND,South Asia
Garra arupi,IND,South Asia
Garra biloborostris,IND,South Asia
Garra binduensis,IND,South Asia
Garra birostris,IND,South Asia
Garra chathensis,IND,South Asia
Garra chaudhurii,IND,South Asia
Garra chindwinensis,IND,South Asia
Garra chingaiensis,IND,South Asia
Garra chivaensis,IND,South Asia
Garra clavirostris,IND,South Asia
Garra compressus,IND,South Asia
Garra cornigera,IND,South Asia
Garra dampaensis,IND,South Asia
Garra deccanensis,IND,South Asia
Garra elongata,IND,South Asia
Garra emarginata,IND,South Asia
Garra flavatra,IND,South Asia
Garra hexagonarostris,IND,South Asia
Garra hughi,IND,South Asia
Garra irangensis,IND,South Asia
Garra jaldhakaensis,IND,South Asia
Garra jenkinsonianum,IND,South Asia
Garra kalakadensis,IND,South Asia
Garra kalpangi,IND,South Asia
Garra kempi,IND,South Asia
Garra khawbungi,IND,South Asia
Garra koladynensis,IND,South Asia
Garra laishrami,IND,South Asia
Garra langlungensis,IND,South Asia
Garra litanensis,IND,South Asia
Garra lungongza,IND,South Asia
Garra magnacavus,IND,South Asia
Garra magnidiscus,IND,South Asia
Garra manipurensis,IND,South Asia
Garra matensis,IND,South Asia
Garra mlapparaensis,IND,South Asia
Garra montisalsi,IND,South Asia
Garra naganensis,IND,South Asia
Garra nambulica,IND,South Asia
Garra namyaensis,IND,South Asia
Garra nethravathiensis,IND,South Asia
Garra ngatangkha,IND,South Asia
Garra nigricollis,IND,South Asia
Garra palaruvica,IND,South Asia
Garra paralissorhynchus,IND,South Asia
Garra paratrilobata,IND,South Asia
Garra periyarensis,IND,South Asia
Garra prashadi,IND,South Asia
Garra quadratirostris,IND,South Asia
Garra rakhinica,IND,South Asia
Garra ranganensis,IND,South Asia
Garra simbalbaraensis,IND,South Asia
Garra substrictorostris,IND,South Asia
Garra surendranathanii,IND,South Asia
Garra tamangi,IND,South Asia
Garra tezuensis,IND,South Asia
Garra triangularis,IND,South Asia
Garra trilobata,IND,South Asia
Garra ukhrulensis,IND,South Asia
Glyptosternon labiatus,IND,South Asia
Glyptosternon striatus,IND,South Asia
Glyptosternon sulcatus,IND,South Asia
Glyptosternum conirostre,IND,South Asia
Glyptosternum gracile,IND,South Asia
Glyptosternum hodgarti,IND,South Asia
Glyptosternum sinense,IND,South Asia
Glyptosternum stolickae,IND,South Asia
Glyptosternum stuarti,IND,South Asia
Glyptosternum sykesi,IND,South Asia
Glyptothorax anamalaiensis,IND,South Asia
Glyptothorax annandalei,IND,South Asia
Glyptothorax ater,IND,South Asia
Glyptothorax brevipinnis,IND,South Asia
Glyptothorax brevipinnis alaknandi,IND,South Asia
Glyptothorax burmanicus,IND,South Asia
Glyptothorax caudimaculatus,IND,South Asia
Glyptothorax chimtuipuiensis,IND,South Asia
Glyptothorax churamanii,IND,South Asia
Glyptothorax clavatus,IND,South Asia
Glyptothorax coheni,IND,South Asia
Glyptothorax conirostre poonaensis,IND,South Asia
Glyptothorax conirostris punjabensis,IND,South Asia
Glyptothorax dikrongensis,IND,South Asia
Glyptothorax distichus,IND,South Asia
Glyptothorax dorsalis,IND,South Asia
Glyptothorax elankadensis,IND,South Asia
Glyptothorax garhwali,IND,South Asia
Glyptothorax giudikyensis,IND,South Asia
Glyptothorax gopii,IND,South Asia
Glyptothorax granulus,IND,South Asia
Glyptothorax heokheei,IND,South Asia
Glyptothorax housei,IND,South Asia
Glyptothorax jayarami,IND,South Asia
Glyptothorax kailashi,IND,South Asia
Glyptothorax kashmirensis,IND,South Asia
Glyptothorax lairamkhullensis,IND,South Asia
Glyptothorax maceriatus,IND,South Asia
Glyptothorax malabarensis,IND,South Asia
Glyptothorax manipurensis,IND,South Asia
Glyptothorax mibangi,IND,South Asia
Glyptothorax minutus,IND,South Asia
Glyptothorax motbungensis,IND,South Asia
Glyptothorax nelsoni,IND,South Asia
Glyptothorax ngapang,IND,South Asia
Glyptothorax pantherinus,IND,South Asia
Glyptothorax pasighatensis,IND,South Asia
Glyptothorax primusplicae,IND,South Asia
Glyptothorax radiolus,IND,South Asia
Glyptothorax rugimentum,IND,South Asia
Glyptothorax rupiri,IND,South Asia
Glyptothorax scrobiculus,IND,South Asia
Glyptothorax senapatiensis,IND,South Asia
Glyptothorax siangensis,IND,South Asia
Glyptothorax trewavasae,IND,South Asia
Glyptothorax trilineatus,IND,South Asia
Glyptothorax ventrolineatus,IND,South Asia
Glyptothorax verrucosus,IND,South Asia
Glyptothorax viridis,IND,South Asia
Glyptothorax waikhomi,IND,South Asia
Gobius diadema,IND,South Asia
Gobius ostreicola,IND,South Asia
Gonorhynchus rupicolus,IND,South Asia
Gonorhynchus stenorhynchus,IND,South Asia
Haplochilus (Panchax) dayi,IND,South Asia
Haplochilus andamanicus,IND,South Asia
Hara jerdoni,IND,South Asia
Hara koladynensis,IND,South Asia
Hara nareshi,IND,South Asia
Hara serratus,IND,South Asia
Helgia modesta,IND,South Asia
Hemimyzon indicus,IND,South Asia
Hemiramphus brachynotopterus,IND,South Asia
Heteropneustes fuscus,IND,South Asia
Heteropneustes longipectoralis,IND,South Asia
Hippichthys heptagonus,IND,South Asia
Homaloptera manipurensis,IND,South Asia
Homaloptera menoni,IND,South Asia
Homaloptera montana,IND,South Asia
Homaloptera pillaii,IND,South Asia
Homaloptera santhamparaiensis,IND,South Asia
Homaloptera silasi,IND,South Asia
Horabagrus nigricollaris,IND,South Asia
Horadandia atukorali,IND,South Asia
Horadandia atukorali brittani,IND,South Asia
Horaglanis alikunhii,IND,South Asia
Horaglanis krishnai,IND,South Asia
Horaglanis populi,IND,South Asia
Horaichthys setnai,IND,South Asia
Horalabiosa arunachalami,IND,South Asia
Horalabiosa joshuai,IND,South Asia
Horalabiosa palaniensis,IND,South Asia
Hypselobarbus basavarajai,IND,South Asia
Hypselobarbus bicolor,IND,South Asia
Hypselobarbus keralaensis,IND,South Asia
Hypselobarbus kurali,IND,South Asia
Hypselobarbus kushavali,IND,South Asia
Hypselobarbus menoni,IND,South Asia
Hypselobarbus nasutus,IND,South Asia
Hypselobarbus nilgiriensis,IND,South Asia
Hypselobarbus nitidus,IND,South Asia
Hypselobarbus procerus,IND,South Asia
Hypselobarbus pseudomussullah,IND,South Asia
Hypselobarbus tamiraparaniei,IND,South Asia
Hypselobarbus vaigaiensis,IND,South Asia
Indoreonectes neeleshi,IND,South Asia
Indoreonectes rajeevi,IND,South Asia
Indoreonectes telanganaensis,IND,South Asia
Johnius gangeticus,IND,South Asia
Kryptoglanis shajii,IND,South Asia
Kryptopterus indicus,IND,South Asia
Labeo almorae,IND,South Asia
Labeo dyocheilus pakistanicus,IND,South Asia
Labeo filiferus,IND,South Asia
Labeo fisheri,IND,South Asia
Labeo rajasthanicus,IND,South Asia
Labeo shivamogaensis,IND,South Asia
Labrus badis,IND,South Asia
Labrus dario,IND,South Asia
Laguvia manipurensis,IND,South Asia
Laguvia ribeiroi,IND,South Asia
Laguvia ribeiroi kapuri,IND,South Asia
Laguvia shawi,IND,South Asia
Laubuca dadiburjori,IND,South Asia
Laubuka latens,IND,South Asia
Laubuka parafasciata,IND,South Asia
Laubuka trevori,IND,South Asia
Lepidocephalichthys annandalei,IND,South Asia
Lepidocephalichthys goalparensis,IND,South Asia
Lepidocephalichthys irrorata,IND,South Asia
Lepidocephalichthys manipurensis,IND,South Asia
Lepidocephalus coromandelensis,IND,South Asia
Lepidopygopsis typus,IND,South Asia
Leuciscus acinaces,IND,South Asia
Leuciscus belangeri,IND,South Asia
Leuciscus dandia,IND,South Asia
Leuciscus filamentosus,IND,South Asia
Leuciscus gatensis,IND,South Asia
Leuciscus mahecola,IND,South Asia
Leuciscus melettina,IND,South Asia
Leuciscus microcephalus,IND,South Asia
Leuciscus microlepis,IND,South Asia
Leuciscus sardinella,IND,South Asia
Leuciscus stigma,IND,South Asia
Liza mandapamensis,IND,South Asia
Macrognathus albus,IND,South Asia
Macrognathus fasciatus,IND,South Asia
Macrognathus lineatomaculatus,IND,South Asia
Macrognathus morehensis,IND,South Asia
Macrones bleekeri,IND,South Asia
Macrones merianiensis,IND,South Asia
Macrones montanus dibrugarensis,IND,South Asia
Macrones pulcher,IND,South Asia
Macrones rufescens,IND,South Asia
Macropteronotus jagur,IND,South Asia
Mangarinus waterousi,IND,South Asia
Mesonoemacheilus herrei,IND,South Asia
Mesonoemacheilus remadevii,IND,South Asia
Mizogobius koladynae,IND,South Asia
Monopterus digressus,IND,South Asia
Monopterus ichthyophoides,IND,South Asia
Monopterus rongsaw,IND,South Asia
Monopterus roseni,IND,South Asia
Moringua hodgarti,IND,South Asia
Mustura daral,IND,South Asia
Mustura subhashi,IND,South Asia
Mustura taretensis,IND,South Asia
Myersglanis jayarami,IND,South Asia
Mystus (Mystus) maydelli,IND,South Asia
Mystus catapogon,IND,South Asia
Mystus falcarius,IND,South Asia
Mystus heoki,IND,South Asia
Mystus indicus,IND,South Asia
Mystus irulu,IND,South Asia
Mystus keralai,IND,South Asia
Mystus menoni,IND,South Asia
Mystus ngasep,IND,South Asia
Mystus prabini,IND,South Asia
Mystus rubripinnis,IND,South Asia
Nandus andrewi,IND,South Asia
Nandus banshlaii,IND,South Asia
Nangra assamensis,IND,South Asia
Nemacheilus aureus,IND,South Asia
Nemacheilus carletoni,IND,South Asia
Nemacheilus chindwinicus,IND,South Asia
Nemacheilus evezardi,IND,South Asia
Nemacheilus kaimurensis,IND,South Asia
Nemacheilus periyarensis,IND,South Asia
Nemacheilus stigmofasciatus,IND,South Asia
Nemacheilus triangularis,IND,South Asia
Nemachilus acuticephalus,IND,South Asia
Nemachilus anguilla,IND,South Asia
Nemachilus beavani,IND,South Asia
Nemachilus bhimachari,IND,South Asia
Nemachilus dayi,IND,South Asia
Nemachilus horai,IND,South Asia
Nemachilus kangjupkhulensis,IND,South Asia
Nemachilus kangrae,IND,South Asia
Nemachilus ladacensis,IND,South Asia
Nemachilus mackenziei,IND,South Asia
Nemachilus manipurensis,IND,South Asia
Nemachilus monilis,IND,South Asia
Nemachilus panguri,IND,South Asia
Nemachilus peguensis,IND,South Asia
Nemachilus prashadi,IND,South Asia
Nemachilus punjabensis,IND,South Asia
Nemachilus raoe,IND,South Asia
Nemachilus shebbearei,IND,South Asia
Nemachilus sikmaiensis,IND,South Asia
Nemachilus stenurus,IND,South Asia
Nemachilus vinciguerrae,IND,South Asia
Nemachilus yasinensis,IND,South Asia
Neoeucirrhichthys maydelli,IND,South Asia
Neolissochilus acutirostris,IND,South Asia
Neolissochilus capudelphinus,IND,South Asia
Neolissochilus kaladanensis,IND,South Asia
Neolissochilus micropthalmus,IND,South Asia
Neolissochilus minimus,IND,South Asia
Neolissochilus pnar,IND,South Asia
Neolissochilus tamiraparaniensis,IND,South Asia
Neonoemacheilus morehensis,IND,South Asia
Neotropius khavalchor,IND,South Asia
Noemacheilus (Mesonoemacheilus) pambarensis,IND,South Asia
Noemacheilus altipedunculatus,IND,South Asia
Noemacheilus arunachalensis,IND,South Asia
Noemacheilus assamensis,IND,South Asia
Noemacheilus denisoni mukambbikaensis,IND,South Asia
Noemacheilus devdevi,IND,South Asia
Noemacheilus doonensis,IND,South Asia
Noemacheilus drassensis,IND,South Asia
Noemacheilus gangeticus,IND,South Asia
Noemacheilus himachalensis,IND,South Asia
Noemacheilus kodaguensis,IND,South Asia
Noemacheilus labeosus,IND,South Asia
Noemacheilus menoni,IND,South Asia
Noemacheilus nagaensis,IND,South Asia
Noemacheilus nilgiriensis,IND,South Asia
Noemacheilus petrubanarescui,IND,South Asia
Noemacheilus rajasthanicus,IND,South Asia
Noemacheilus rendahli,IND,South Asia
Noemacheilus sijuensis,IND,South Asia
Noemacheilus singhi,IND,South Asia
Noemacheilus triangularis tambaraparniensis,IND,South Asia
Nuria thermoicos,IND,South Asia
Olyra astrifera,IND,South Asia
